epoch,TrainingAccuracy,ValidationAccurary
10,0.11,0.33
20,0.21,0.33
30,0.31,0.33
40,0.37,0.83
50,0.38,0.83
60,0.52,0.5
70,0.49,0.67
80,0.57,0.67
90,0.57,1.0
95,0.59,0.83
100,0.6,0.5
110,0.62,0.67
120,0.65,0.67
130,0.6,1.0
140,0.66,0.5
150,0.64,0.67
160,0.68,0.83
170,0.7,1.0
180,0.62,1.0
190,0.69,1.0
200,0.67,0.83
210,0.72,1.0
220,0.71,1.0
230,0.71,0.67
240,0.75,1.0
250,0.69,0.67
260,0.72,1.0
270,0.73,0.5
280,0.74,0.33
290,0.76,0.83
300,0.81,1.0
310,0.78,1.0
320,0.77,0.67
330,0.8,0.67
340,0.77,0.67
350,0.79,1.0
360,0.79,0.83
370,0.78,1.0
380,0.72,1.0
390,0.77,0.83
400,0.8,0.83
410,0.71,0.67
